report_date,"Loin, tndrloin, trmd, heavy (189A  4)_price","Loin, top butt, CC (184B  3)_price","Loin, top butt, bnls, heavy (184  1)_price","Loin, tndrloin, trmd, heavy (189A  4)_volume","Loin, top butt, CC (184B  3)_volume","Loin, top butt, bnls, heavy (184  1)_volume"
5/19/23,1441.34,566.6,511.13,691117,65754,1482

5/26/23,1451.09,556.84,496.65,394283,292241,10350

6/2/23,1481.05,663.38,489.35,315409,133756,17801

6/9/23,1529.17,630.09,509.87,370260,25727,5460

6/16/23,1569.58,603.37,530.51,293532,148991,4304

6/23/23,1465.04,653.77,536.86,555435,50997,3873

6/30/23,1415.79,611.4,510.51,489571,46287,5605

7/7/23,1443.07,578.62,512.36,208403,130937,4637

7/14/23,1382.58,559.2,486.13,539445,279679,11470

7/21/23,1362.36,551.73,487.13,416222,129820,3408

7/28/23,1358.27,592.9,467.89,597149,88812,5507

8/4/23,1359.26,596.13,446.51,431565,50055,8440

8/11/23,1379.64,587.48,473.34,693721,70872,2246

8/18/23,1411.95,635.79,469.56,577421,185421,7384

8/25/23,1453.91,626.79,465.94,627514,144487,5486

9/1/23,1490.32,610.13,462.44,349363,138682,8100

9/8/23,1455.59,619.13,454.06,675087,85062,4516

9/15/23,1402.82,563.74,418.4,777783,466633,8721

9/22/23,1410.71,554.18,426.46,753500,395262,2523

9/29/23,1419.05,605.3,392.26,963736,57431,12031

10/6/23,1503.72,585.74,402.79,318052,539984,11556

10/13/23,1562.79,565.44,364.01,337743,76454,20669

10/20/23,1592.55,549.01,385.3,405998,485336,16394

10/27/23,1652.73,556.07,371.59,382934,218996,8707

11/3/23,1667.61,545.69,397.28,571529,358768,1471

11/10/23,1664.67,543.88,394.95,850075,132195,22701

11/17/23,1703.69,549.56,388.42,240328,177513,9894

11/24/23,1709.88,542.44,376.85,613362,575602,5781

12/1/23,1741.83,533.61,384.32,554170,361309,5233

12/8/23,1787.98,544,353.73,393057,280940,44667

12/15/23,1775.87,548.08,392.73,440275,231058,7726

12/22/23,1647.28,544.47,389.42,816421,321452,32348

12/29/23,1632.32,566.8,398.61,349543,14334,18154

1/5/24,1572.9,557.62,376.48,448725,19407,20972

1/12/24,1447.01,543.22,397.33,1010229,56193,3980

1/19/24,1457.63,557.81,,550874,145663,

1/26/24,1414.87,550.43,393.63,1115486,227647,4386

2/2/24,1387.11,540.19,397.28,476444,138491,1079

2/9/24,1413.15,543.49,405.89,423348,206529,27386

2/16/24,1407.03,529.93,385.31,429192,186562,10614

2/23/24,1404.9,532.19,397.34,601739,286505,4816

3/1/24,1411.47,549.44,400.72,654849,102401,5928

3/8/24,1385.03,547.65,414.43,928359,132237,5181

3/15/24,1414.91,572.36,413.89,482498,98615,3934

3/22/24,1407.31,573.97,447.79,579624,145122,2014

3/29/24,1392.86,582.24,472.97,556575,139656,45466

4/5/24,1356.44,560.64,471.24,756908,294171,2616

4/12/24,1302.74,594.92,443.34,1055130,180269,17829

4/19/24,1290.18,608.97,459.39,729763,80187,12786

4/26/24,1348.06,617.36,456.73,368769,80614,1169

5/3/24,1305.97,607.84,440.51,486890,95146,6697

5/10/24,1340.26,610.97,454.92,533131,125933,11198

5/17/24,1381.91,608.33,,466026,284039,

5/24/24,1383.75,623.64,470.25,407547,67373,4565

5/31/24,1392.52,630.88,489.89,454963,72652,27705

6/7/24,1372.08,663.35,503.35,465247,108133,3294

6/14/24,1360.57,674.45,502.73,484178,41780,1674

6/21/24,1304.17,686.79,524.95,1063059,47321,7675

6/28/24,1329.1,670.87,526.28,431134,139506,1538

7/5/24,1324.8,707.32,499.54,303078,70823,12654

7/12/24,1268.67,689.49,,670104,80426,

7/19/24,1221.2,660.65,524.67,764941,214998,13329

7/26/24,1157.2,627.62,514.7,984593,592587,1517

8/2/24,1185.83,673.57,499.81,596890,56893,16862

8/9/24,1180.53,666.66,481.9,761784,95184,11570

8/16/24,1206.49,635.43,,546754,112907,

8/23/24,1225.05,603.42,481.02,581287,354676,8289

8/30/24,1209.25,591.25,480.84,1032348,476508,6467

9/6/24,1256.39,667.04,483.15,389576,38565,9665

9/13/24,1252.04,589.86,,989116,392009,

9/20/24,1274.24,576.09,456.32,626115,701564,5679

9/27/24,1277.77,570.41,433.75,758650,445059,8950

10/4/24,1321.48,557.35,435.17,596780,713830,29680

10/11/24,1375.51,558.32,417.73,510143,295945,4017

10/18/24,1461.66,555.88,402.77,406988,352392,43860

10/25/24,1458.11,539.24,412.49,851612,329408,3114

11/1/24,1542.58,539.72,403.39,317366,301548,1932

11/8/24,1585.96,566.24,389.94,366473,55834,4819

11/15/24,1592.13,523.51,393.13,597711,219122,2872

11/22/24,1657.66,539.66,395.03,377390,139403,1920

11/29/24,1696.59,562.9,396.95,456602,202346,4101

12/6/24,1672.83,536.77,390.24,706484,125391,12360

12/13/24,1660.64,538.47,391.46,554135,73091,5159

12/20/24,1569.33,559.01,398.3,455592,72548,3583

12/27/24,1405.57,556.75,,504671,129106,

1/3/25,1419.09,559.44,406.55,449737,150133,7729

1/10/25,1259.42,560.5,416.77,1702204,171066,4008

1/17/25,1261.87,577.39,418.62,1027424,88452,12479

1/24/25,1265.53,574.72,417.78,899626,90647,4624

1/31/25,1276.5,585.35,429.4,455715,128076,4827

2/7/25,1268.7,602.82,,559971,79916,

2/14/25,1241.96,627.94,436.89,959844,66354,17100

2/21/25,1240.28,637.5,458.66,708746,29857,1251

2/28/25,1256.85,658.7,460.67,534945,56637,3314

3/7/25,1265.91,673.31,461.93,663205,47588,3507

3/14/25,1277.64,684.1,469.97,1091005,120294,2508

3/21/25,1326.66,684.66,489.83,392498,99364,9273

3/28/25,1388.19,737.14,519.11,631854,53956,12635

4/4/25,1437.35,757.86,525.71,479774,52775,17905

4/11/25,1445.71,713.05,549.18,352719,59688,2624

4/18/25,1384.36,752.85,559.69,561594,35471,2885

4/25/25,1377.9,750.12,,421032,55371,

5/2/25,1382.57,765.7,615.07,469173,68710,5026

5/9/25,1333.96,791.93,599.93,880323,45166,2852

5/16/25,1378.71,860.16,608.84,603656,60528,4979

5/23/25,1421.99,854.7,627.77,372595,86998,4960

5/30/25,1436.59,890.7,648.4,342683,36484,6560

6/6/25,1438.01,925.47,681.43,447709,45282,6354

6/13/25,1442.03,971.77,701.63,405606,77392,3494

6/20/25,1458.35,957.03,726.52,573052,46680,7770

6/27/25,1483.57,980.06,745.42,374386,67245,5549
